TITLE,DIRECTOR,ACTOR,GENRE,SPECTATORS,RUNTIME,OPENDATE,IMGLINK,MOVIECONTENT
그대들은 어떻게 살 것인가 ,미야자키하야오,"산토키소마,스다마사키,시바사키코우,아이묭,기무라요시노,기무라타쿠야",애니메이션,전체관람가,124분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87433/87433_1000.jpg,"화재로 어머니를 잃은 11살 소년 ‘마히토’는 아버지와 함께 어머니의 고향으로 간다. 어머니에 대한 그리움과 새로운 보금자리에 적응하느라 힘들어하던 ‘마히토’ 앞에 정체를 알 수 없는 왜가리 한 마리가 나타나고, 저택에서 일하는 일곱 할멈으로부터 왜가리가 살고 있는 탑에 대한 신비로운 이야기를 듣게 된다. 그러던 어느 날, ‘마히토’는 사라져버린 새엄마 ‘나츠코’를 찾기 위해 탑으로 들어가고, 왜가리가 안내하는 대로 이세계(異世界)의 문을 통과하는데…!"
바람 따라 만나리 : 김호중의 계절 ,,,,전체관람가,107분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87422/87422_1000.jpg,"3개월간 전국 6개 도시에서 10만 아리스와 함께했던 김호중의 첫 전국 투어 콘서트, 아리스트라!  제대 후 일년간 쉬지 않고 달려온 김호중이 지친 몸과 마음을 달래기 위해 떠난 여행  대규모 오케스트라와 김호중의 천상의 목소리, 그리고 아리스의 환호가 공연장을 가득 채웠던 감동적인 콘서트 장면과 고군산도의 눈부신 풍경을 따라 여행하는 김호중의 행복한 순간이 스크린X 파노라마 뷰로 펼쳐진다."
플라워 킬링 문 ,마틴스코세이지,"레오나르도디카프리오,로버트드니로,릴리글래드스톤","범죄,드라마",청소년관람불가,205분,2023.10.19,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87444/87444_1000.jpg,"‘플라워 킬링 문’은 진정한 사랑과 말할 수 없는 배신이 교차하는 서부 범죄극으로 ‘어니스트 버크하트’(레오나르도 디카프리오)와 ‘몰리 카일리’(릴리 글래드스톤)의 이루어질 수 없는 로맨스를 중심으로 오세이지족에게 벌어진 끔찍한 비극 실화를 그려낸다. 데이비드 그랜 작가의 베스트셀러 소설을 원작으로 아카데미를 수상한 거장 마틴 스코세이지 감독이 연출과 각본을 맡았으며, 에릭 로스가 각본에 함께 참여했다."
익스펜더블 4 ,스캇워프,"제이슨스타뎀,실베스터스탤론,메간폭스,50센트,토니자,돌프룬드그렌,이코우웨이스,랜디커투어,앤디가르시아",액션,청소년관람불가,103분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87358/87358_1000.jpg,테러 단체에게 핵미사일이 탈취되어 3차 세계대전이 발발할 위기의 상황에 ‘리’(제이슨 스타뎀)를 새로운 리더로 맞은 무적의 팀 익스펜더블이 작전에 투입되는데...
30일,남대중,"장성욱,김성훈",,12세이상관람가,119분,2023.10.03,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87407/87407_1000.jpg,"“완벽한 저에게 신은 저 여자를 던지셨죠” 지성과 외모 그리고 찌질함까지 타고난, '정열'(강하늘).  “모기 같은 존재죠. 존재의 이유를 모르겠는?” 능력과 커리어 그리고 똘기까지 타고난, '나라'(정소민).  영화처럼 만나 영화같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다.  그러나! 완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?  올 추석, 기억도 로맨스도 날리고 웃음만 남긴 이들의 제대로 터지는 코미디가 온다!"
용감한 시민 ,박진표,"신혜선,이준영",,15세이상관람가,112분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87410/87410_1000.jpg,"불의는 못 본 척, 성질은 없는 척, 주먹은 약한 척 먹고 살기 위해 조용히 살아 온 기간제 교사 '소시민’.  법도 경찰도 무서울 것 하나 없는 안하무인 절대권력 '한수강'의 선을 넘는 행동을 목격하게 된다.  그의 계속되는 악행을 도저히 참을 수 없었던 그녀, 정체를 숨긴 채 통쾌한 한 방을 날리기로 마음 먹는데…  ""선은 네가 먼저 넘었다 말이 안 통하면 혼나야지!"""
오픈 더 도어 ,장항준,"이순원,서영주,김수진,강애심","미스터리,스릴러",15세이상관람가,71분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87438/87438_1000.jpg,"이른 새벽, 미국 뉴저지의 한 세탁소에서 총성이 울려 퍼진다. 살인 사건은 세간을 떠들썩하게 하지만 범인이 잡히지 않은 채 서서히 잊혀진다. 7년 후, 행복했던 가족의 과거를 추억하던 두 남자는 술을 마시던 중 숨겨진 비밀을 마주하게 되는데…  절대 열어서는 안 되는 판도라의 상자, 당신은 여시겠습니까?"
화사한 그녀,이승준,"엄정화,송새벽,방민아,박호산,손병호,김재화",,12세이상관람가,121분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87305/87305_1000.jpg,인생 역전 한방을 꿈꾸는 화사한 작전꾼 ‘지혜’ 매번 허당한 실력으로 허탕만 치던 그녀에게 600억이라는 일생일대의 기회가 찾아왔다!  실패는 사치다!라는 모토 아래 영혼까지 끌어 모은 마지막 작전을 시작하는데…
사나-저주의 아이,시미즈다카시,호시토모코,호러,15세이상관람가,102분,2023.10.04,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87355/87355_1000.jpg,"“내 노래를 들어줘…”  방송국 창고에서 발견된 오래된 카세트테이프. 그 안에 담긴 정체불명의 허밍 소리를 들은 방송국 관계자들이 실종되기 시작하고, 인기 아이돌 ‘제너레이션즈’ 마저 테이프를 접한 후 저주 같은 공포에 시달린다. 급기야 콘서트를 앞두고 멤버가 실종되는 사태에 이르는데… 매니저는 상황을 해결하기 위해 급히 탐정을 고용하고 테이프에 얽힌 한 소녀의 미스터리한 사연을 마주한다.  모든 것은 카세트테이프에서 시작됐다! 재생하는 순간, 봉인된 ‘저주의 멜로디’가 깨어난다!"
팀 버튼의 크리스마스 악몽 ,헨리셀릭,"대니엘프먼,크리스서랜던,캐서린오하라,윌리엄히키,글렌샤딕스,폴루벤스","가족,환타지,애니메이션,뮤지컬",전체관람가,77분,2023.10.18(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87500/87500_1000.jpg,"반복되는 할로윈 준비가 지겨운 호박 왕 잭은 모두에게 즐거운 크리스마스를 전하고 싶다. 하지만 잭의 신나는 임무는 산타를 위험에 빠뜨리고, 온 세상의 착한 아이들에게는 악몽이 되고 만다!"
화란,김창훈,"홍사빈,송중기,김형서",드라마,15세이상관람가,124분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87408/87408_1000.jpg,영화 <화란> 은 지옥 같은 현실에서 벗어나고 싶은 연규가 조직의 중간 보스 치건을 만나 위태로운 세계에 함께 하게 되며 펼쳐지는 이야기를 그린 느와르 드라마
믿을 수 있는 사람 ,곽은미,"이설,오경화,박세현,우정원,이노아",드라마,12세이상관람가,94분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87405/87405_1000.jpg,"“안녕하세요, 제 이름은 박한영입니다. 성의를 다해 가이드할 테니, 저를 믿으시고 즐겁게 보내시기 바랍니다”  눈 뜨고 코 베인다는 서울에서, 안락한 정착을 꿈꾸는 20대 한영.  관광통역안내사 자격증을 취득 후, 이제 정말 돈만 벌면 될 줄 알았는데... 중국 여행객을 상대로 한 가이드 업무는 마음 같지 않고, 심지어 유일하게 의지했던 친구 정미마저 서울살이 청산을 선언한다.  열심히 살아도 마음 같지 않은 서울살이, 이대로 끝…?  당신의 여행은 제가 가이드할게요, 그런데... 제 인생은 누가 가이드해 주죠?"
블루 자이언트 ,타치카와유즈루,"야마다유키,마미야쇼타로,오카야마아마네","애니메이션,드라마",12세이상관람가,119분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87298/87298_1000.jpg,"“세계 최고가 될 거야, 반드시” 언제나 강가에서 홀로 색소폰을 불던 고등학생 ‘다이’는 세계 최고의 재즈 플레이어에 도전하기 위해 도쿄로 향한다.  “실력이 안 되면 같이 안 할 거니까” 우연히 재즈 클럽에서 엄청난 연주 실력을 뽐내는 천재 피아니스트 ‘유키노리’를 만나 밴드 결성을 제안하고,  “나도 드럼을 칠 수 있을까?” ‘다이’의 고등학교 동창이자 평범한 대학생이던 ‘슌지’가 열정 가득한 초보 드러머로 합류하면서 밴드 ‘JASS 재스’가 탄생한다.  “전력을 다해 연주하자! 분명 전해질 거야” 목표는 최고의 재즈 클럽 ‘쏘 블루’! 10대의 마지막 챕터를 바친 JASS 재스의 격렬하고 치열한 연주가 지금, 바로, 여기서 시작된다!"
1947 보스톤,강제규,"하정우,임시완,배성우,김상호",드라마,12세이상관람가,108분,2023.09.27,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87388/87388_1000.jpg,"“나라가 독립을 했으면 당연히 우리 기록도 독립이 되어야지!”  1936년 베를린 올림픽, 세계 신기록을 세운 마라톤 금메달리스트 ‘손기정’. 기미가요가 울려 퍼지는 시상대에서 화분으로 가슴에 단 일장기를 가렸던 그는 하루아침에 민족의 영웅으로 떠올랐지만 일제의 탄압으로 더 이상 달릴 수 없게 된다.  광복 이후 1947년 서울, 제2의 손기정으로 촉망받는 ‘서윤복’에게 ‘손기정’이 나타나고 밑도 끝도 없이 ‘보스톤 마라톤 대회’에 나가자는 제안을 건넨다. 일본에 귀속된 베를린 올림픽의 영광을 되찾기 위해 처음으로 태극마크를 가슴에 새기고 달려 보자는 것!  운동화 한 켤레 살 돈도 없던 대한의 마라토너들은 미국 보스톤으로 잊을 수 없는 여정을 시작하는데…"
천박사 퇴마 연구소-설경의 비밀,김성식,"강동원,허준호,이솜,이동휘,김종수,박소이",,12세이상관람가,98분,2023.09.27,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87335/87335_1000.jpg,"대대로 마을을 지켜 온 당주집 장손이지만 정작 귀신은 믿지 않는 가짜 퇴마사 ‘천박사’(강동원).   사람의 마음을 꿰뚫는 통찰력으로 가짜 퇴마를 하며, 의뢰받은 사건들을 해결해 오던 그에게 귀신을 보는 의뢰인 ‘유경’(이솜)이 찾아와 거액의 수임료로 거절하기 힘든 제안을 한다.   ‘천박사’는 파트너 ‘인배’(이동휘)와 함께 ‘유경’의 집으로 향하고 그곳에서 벌어지는 사건을 쫓으며 자신과 얽혀 있는 부적인 ‘설경’의 비밀을 알게 되는데…   귀신을 믿지 않는 가짜 퇴마사! 그의 세계를 흔드는 진짜 사건이 나타났다!"
엑소시스트-믿는 자 ,데이빗고든그린,"엘렌버스틴,레슬리오덤주니어,앤도드,라파엘스바지,제니퍼네틀스,올리비아오닐",호러,15세이상관람가,111분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87428/87428_1000.jpg,"한날한시에 동시에 사라졌던 ‘앤젤라’와 ‘캐서린’. 기억이 전부 사라진 채 상처투성이 몸으로 돌아온 두 아이는 이상 증세를 보이며 날이 갈수록 섬뜩하게 변해간다. 마침내 두 아이의 몸을 동시에 차지한 악마가 존재를 드러내고, 한 명을 살리면 한 명이 죽는다는 충격적인 사실이 밝혀지는데…  신이 너한테 장난을 쳤네 극한의 공포와 대면할 자, 누구인가"
만강홍-사라진 밀서,장예모,"선텅,이양천새,뇌가음,장역,악운붕,왕가이",드라마,15세이상관람가,158분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87361/87361_1000.jpg,송나라 재상 진회의 주둔지에서 금나라의 사신이 살해 당한다. 범인은 재상에게 바칠 밀서를 훔쳐 사라진 상황. 진회는 범행을 부인하는 유력 용의자 장대에게 목숨을 미끼로 밀서의 행방을 찾으라 명한다.  각기 다른 목적으로 밀서를 찾아야만 하는 6인! 주어진 시간은 단 2시간 뿐! 반드시 밀서를 차지해야만 한다!
아이유 콘서트 : 더 골든 아워,,,,전체관람가,172분,2023.09.13,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87246/87246_1000.jpg,"- 5주차 상영기간: 10/11(수) ~ 10/17(화)  - 5주차 상영극장: CGV 광교, 광주터미널, 대구, 대전, 동탄, 서면, 소풍, 압구정, 왕십리, 용산아이파크몰, 울산삼산, 의정부, 인천, 일산, 전주효자, 창원더시티, 천호, 청주(서문). 춘천, 판교  ※극장 사정에 따라 상영 극장이 변동될 수 있으며, 상세 상영일정은 각 지점별 상영시간표를 확인 부탁드립니다. ※각종 이벤트 및 특전은 추후 CGV 홈페이지 및 앱을 통해 확인부탁드립니다. ※<아이유 콘서트 : 더 골든 아워>는 특별 콘텐츠로 각종 우대가, 할인쿠폰, 관람가, 상품권 사용 및 카드사 즉시할인 적용이 제한됩니다.  ※해당 콘텐츠는 공연 실황 영화입니다.   데뷔 15주년 기념, <아이유 콘서트 : 더 골든 아워> CGV 개봉!  한국 여자 가수 최초로 올림픽주경기장에 입성한 아이유의 단독 콘서트 'The Golden Hour'를 극장에서 만난다!  전율을 선사한 무반주 오프닝을 시작으로 우리가 사랑한 노래들로 꽉 채워진 셋 리스트, 올림픽주경기장에 뜬 스트로베리 문 열기구부터 불꽃놀이, 드론 쇼까지 눈과 귀를 황홀하게 만드는 마법 같은 무대연출!  레전드 무대와 꽉 찬 라이브로 행복했던 우리들의 ‘골든 아워’ 2023년 9월, 잊지 못할 감동이 스크린에서 펼쳐진다!"
크리에이터,가렛에드워즈,"존데이비드워싱턴,젬마찬,와타나베켄,매들린유나보일스","SF,액션",12세이상관람가,133분,2023.10.03,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87354/87354_1000.jpg,"“이것은 인류의 존망이 걸린 싸움입니다”  인류를 지키기 위해 만들어진 AI가 LA에 핵폭탄을 터뜨린 후,  인류와 AI 간의 피할 수 없는 전쟁이 시작된다.  전직 특수부대 요원 ‘조슈아’는  실종된 아내의 단서를 얻을지도 모른다는 생각에  전쟁을 끝내기 위한 인류의 작전에 합류한다.  인류를 위협할 강력한 무기와 이를 창조한 ‘창조자’를 찾아 나서고, 그 무기가 아이 모습의 AI 로봇 '알피'란 사실을 알게 되는데…  인간적인가, 인간의 적인가 10월, AI 블록버스터의 신세계가 펼쳐진다!"
거미집,김지운,"최정화,이동진",,15세이상관람가,132분,2023.09.27,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87395/87395_1000.jpg,"“결말만 바꾸면 걸작이 된다, 딱 이틀이면 돼!”  1970년대 꿈도 예술도 검열당하던 시대 성공적이었던 데뷔작 이후, 악평과 조롱에 시달리던 김감독(송강호)은 촬영이 끝난 영화 ‘거미집’의 새로운 결말에 대한 영감을 주는 꿈을 며칠째 꾸고 있다. 그대로만 찍으면 틀림없이 걸작이 된다는 예감, 그는 딱 이틀 간의 추가 촬영을 꿈꾼다. 그러나 대본은 심의에 걸리고, 제작자 백회장(장영남)은 촬영을 반대한다. 제작사 후계자인 신미도(전여빈)를 설득한 김감독은 베테랑 배우 이민자(임수정), 톱스타 강호세(오정세), 떠오르는 스타 한유림(정수정)까지 불러 모아 촬영을 강행하지만, 스케줄 꼬인 배우들은 불만투성이다. 설상가상 출장 갔던 제작자와 검열 담당자까지 들이닥치면서 현장은 아수라장이 되는데…  과연 ‘거미집’은 세기의 걸작으로 완성될 수 있을까?"
우리의 하루 ,홍상수,"기주봉,김민희,송선미,박미소,하성국,김승윤",드라마,12세이상관람가,84분,2023.10.19,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87440/87440_1000.jpg,"한 사람은 사십대 초반 여자인데 고양이를 키우는 사람의 집에 잠시 머물고 있고, 다른 사람은 혼자 사는 칠십대 남자인데 전에 키웠던 고양이가 늙어 죽었다. 오늘 두 사람을 찾아온 방문객들이 있었는데, 여자를 찾아온 방문객은 이십대 여자였고, 남자를 찾아온 방문객은 삼십대 남자였다. 두 방문객들 모두 진지한 질문들을 갖고 왔는데, 사십대 초반의 여자는 선 채로 짧게 대답해준 편이고, 칠십대 남자는 조금 길게 대화를 이어가게 된다. 두 사람 다 손님 앞에서 점심으로 라면을 먹는데, 공교롭게도 둘 다 라면에 고추장을 넣어 먹는 모습을 보여준다. 라면에 고추장을 넣어 먹는 건 흔한 일이 아니다. 나중에 한쪽 집에선 고양이가 집을 나간 일이 일어나고, 다른 집에선 술판이 벌어지게 된다. 한쪽 집에선 해가 지고 나서 끝나고, 다른 집에선 해지기 바로 전에 끝이 난다."
서칭 포 슈가맨,말릭벤젠룰,"말릭벤젠룰,로드리게즈",다큐멘터리,전체관람가,86분,2023.10.11(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87439/87439_1000.jpg,"미국에선 ZERO, 남아공에선 HERO?! 팝 역사상 가장 신비로운 가수, ‘슈가맨’의 놀라운 이야기!  ● 본고장 미국: 음반 판매 6장, 아무도 알아주지 않는 비운의 가수! ● 반대편 남아공: 밀리언셀러 히트가수, ‘엘비스’보다 유명한 슈퍼스타! 70년대 초, 우연히 남아공으로 흘러 들어온 ‘슈가맨’의 앨범은 지난 수십 년간 가장 큰 사랑을 받으며 최고의 히트를 기록한다. 하지만 ‘슈가맨’은 단 두 장의 앨범만 남기고 사라져버린 신비의 가수!  전설의 ‘슈가맨’을 둘러싸고 갖가지 소문만 무성한 가운데, 두 명의 열성 팬이 진실을 밝히고자 그의 흔적을 찾기 시작한다. 그러나 단서라고는 오직 그의 노래 가사뿐! 기발한 추적 끝에 ‘슈가맨’에 대한 수수께끼를 풀었다고 생각한 순간, 그들은 상상하지도 못했던 놀라운 사실과 마주하게 되는데...!"
더 넌 2,마이클차베즈,"타이사파미가,보니아론스,조나스블로켓,안나포플웰,스톰리드,케이틀린로즈다우니",호러,15세이상관람가,110분,2023.09.27,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87387/87387_1000.jpg,"컨저링 유니버스 사상 가장 강력한 악마가 돌아왔다!  1956년, 프랑스의 한 성당에서 신부가 끔찍하게 살해당한다. 이 사건을 조사하기 위해 파견된 아이린 수녀는 4년 전 자신을 공포에 떨게 했던 악마의 기운을 느낀다. 어두운 밤, 계속해서 일어나는 의문의 사건들 가운데 충격적인 진실이 드러나는데…  9월, 기도를 멈추지 마라"
프리 철수 리 ,,,,12세이상관람가,86분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87197/87197_1000.jpg,"2건의 살인, 10년의 재판, “정말로 난, 살인자가 아닙니다!”   탕! 탕! 탕! 1973년 6월 3일, 미국 샌프란시스코 차이나타운 거리 한복판에서 중국인 갱단이 총격을 받고 사망한다. 5일 후, 한 동양인 청년이 살인 용의자로 긴급 체포된다. 이름 ‘철수 리’, 21살의 한인 이민자였다. 동양인 외모를 구별 못하는 백인 목격자들의 증언으로 종신형을 선고받은 이철수는 곧장 캘리포니아에서 가장 폭력적인 교도소에 수감된다.  그대로 묻힐 뻔했던 사건은 한 기자의 심층 보도로 다시 수면 위로 떠오른다. 한인 최초의 미국 주류 신문사 기자였던 이경원은 차이나타운 취재 중 우연히 이철수 사건을 접하고, 엉터리 재판 과정을 폭로한다. 이철수의 억울한 사연이 알려지며 한인 이민 사회와 종교계가 들끓고, 재심을 요구하는 구명 운동이 시작된다. ‘프리 철수 리’ 운동이 아시안아메리칸 사회를 뒤흔들며 빠르게 번져가던 중, 교도소 안 이철수는 갱의 공격으로부터 자신을 지키려다 진짜 살인을 저지르게 되는데…. 반전에 반전을 거듭한 10년의 재판, 그리고 아무도 예상하지 못했던 이철수 삶의 반전!   2023년, 모두의 기대를 배반하고 충격적인 감동을 선사할, 당신의 인생 영화가 될 최고의 다큐멘터리!"
8과 2분의 1,페데리코펠리니,"마르첼로마스트로야니,아누크에메,클라우디아카르디날레","드라마,코미디,환타지",미정,140분,2023.10.04,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87416/87416_1000.jpg,"영화감독 구이도는 어느 날 공중에서 떨어지는 꿈을 꾼다. 대작 SF영화 촬영을 앞두고 정신적, 육체적으로 지쳐있던 그는 온천으로 요양을 가지만 그곳에서도 벗어날 수 없는 문제들이 있다. 펠리니 자신이 “나의 두 번째 데뷔작 혹은 진정한 첫 번째 영화”라 칭한 작품으로, 영화의 제목인 <8½>은 펠리니가 그전까지 만든 영화들의 갯수를 의미한다. 6편의 장편과 두 개의 단편을 각각 1/2로 나누어 1편, 그리고 공동연출작〈다양한 불빛>을 1/2로 간주하여 펠리니 본인이 그때까지 만들었던 영화가 7과 1/2편이고, 이번 영화가 8과 1/2번째 영화라는 뜻이다. 과거와 현재, 꿈과 현실, 환상과 기억이 혼재된 예술가 내면의 혼란을 독백체에 담아 표현하고 있는데, '펠리니적' 영화 세계와 그의 실제 생애가 압축적으로 표현되어있어 한 편의 영상자서전을 보는 듯 한 감상을 주는 작품이다.  1964 아카데미시상식 외국어영화상 및 의상상 수상"
마브카 : 숲의 노래 ,,,,전체관람가,100분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87263/87263_1000.jpg,"올가을, 거대한 마법의 숲 문이 열린다!  오랜 전쟁의 끝, 서로의 문을 닫아 버린 마법의 숲과 인간 세상. 숲의 정령이자 대자연의 새로운 수호자, 마브카는 어느 날 순수한 마음을 지닌 인간 청년 루카스와 사랑에 빠진다. 하지만 악당 킬리나는 사랑에 빠진 마브카의 마음을 이용해 숲을 파괴하고 숲의 심장을 차지하려는 음모를 꾸미는데…"
